 207,
   0.144364916731037E+01,   0.387943459155982E+01,
   0.155635083268963E+01,   0.310806540844018E+01,
   0.155635083268963E+01,   0.349375000000000E+01,
   0.155635083268963E+01,   0.387943459155982E+01,
   0.175000000000000E+01,   0.310806540844018E+01,
   0.175000000000000E+01,   0.349375000000000E+01,
   0.175000000000000E+01,   0.387943459155982E+01,
   0.194364916731037E+01,   0.310806540844018E+01,
   0.194364916731037E+01,   0.349375000000000E+01,
   0.194364916731037E+01,   0.387943459155982E+01,
   0.205635083268963E+01,   0.310806540844018E+01,
   0.205635083268963E+01,   0.349375000000000E+01,
   0.205635083268963E+01,   0.387943459155982E+01,
   0.225000000000000E+01,   0.310806540844018E+01,
   0.225000000000000E+01,   0.349375000000000E+01,
   0.225000000000000E+01,   0.387943459155982E+01,
   0.244364916731037E+01,   0.310806540844018E+01,
   0.244364916731037E+01,   0.349375000000000E+01,
   0.244364916731037E+01,   0.387943459155982E+01,
   0.255635083268963E+01,   0.310806540844018E+01,
   0.255635083268963E+01,   0.349375000000000E+01,
   0.255635083268963E+01,   0.387943459155982E+01,
   0.275000000000000E+01,   0.310806540844018E+01,
   0.275000000000000E+01,   0.349375000000000E+01,
   0.275000000000000E+01,   0.387943459155982E+01,
   0.294364916731037E+01,   0.310806540844018E+01,
   0.294364916731037E+01,   0.349375000000000E+01,
   0.294364916731037E+01,   0.387943459155982E+01,
   0.305635083268963E+01,   0.310806540844018E+01,
   0.305635083268963E+01,   0.349375000000000E+01,
   0.305635083268963E+01,   0.387943459155982E+01,
   0.325000000000000E+01,   0.310806540844018E+01,
   0.325000000000000E+01,   0.349375000000000E+01,
   0.325000000000000E+01,   0.387943459155982E+01,
   0.344364916731037E+01,   0.310806540844018E+01,
   0.344364916731037E+01,   0.349375000000000E+01,
   0.344364916731037E+01,   0.387943459155982E+01,
   0.355635083268963E+01,   0.310806540844018E+01,
   0.355635083268963E+01,   0.349375000000000E+01,
   0.355635083268963E+01,   0.387943459155982E+01,
   0.375000000000000E+01,   0.310806540844018E+01,
   0.375000000000000E+01,   0.349375000000000E+01,
   0.375000000000000E+01,   0.387943459155982E+01,
   0.394364916731037E+01,   0.310806540844018E+01,
   0.394364916731037E+01,   0.349375000000000E+01,
   0.394364916731037E+01,   0.387943459155982E+01,
   0.405635083268963E+01,   0.310806540844018E+01,
   0.405635083268963E+01,   0.349375000000000E+01,
   0.405635083268963E+01,   0.387943459155982E+01,
   0.425000000000000E+01,   0.310806540844018E+01,
   0.425000000000000E+01,   0.349375000000000E+01,
   0.425000000000000E+01,   0.387943459155982E+01,
   0.444364916731037E+01,   0.310806540844018E+01,
   0.444364916731037E+01,   0.349375000000000E+01,
   0.444364916731037E+01,   0.387943459155982E+01,
   0.455635083268963E+01,   0.310806540844018E+01,
   0.455635083268963E+01,   0.349375000000000E+01,
   0.455635083268963E+01,   0.387943459155982E+01,
   0.475000000000000E+01,   0.310806540844018E+01,
   0.475000000000000E+01,   0.349375000000000E+01,
   0.475000000000000E+01,   0.387943459155982E+01,
   0.494364916731037E+01,   0.310806540844018E+01,
   0.494364916731037E+01,   0.349375000000000E+01,
   0.494364916731037E+01,   0.387943459155982E+01,
 207,
   0.187836102087069E+00,   0.225403330758517E+00,
   0.187836102087069E+00,   0.100000000000000E+01,
   0.187836102087069E+00,   0.177459666924148E+01,
   0.833333312500000E+00,   0.225403330758517E+00,
   0.833333312500000E+00,   0.100000000000000E+01,
   0.833333312500000E+00,   0.177459666924148E+01,
   0.147883053791293E+01,   0.225403330758517E+00,
   0.147883053791293E+01,   0.100000000000000E+01,
   0.147883053791293E+01,   0.177459666924148E+01,
   0.185450276462582E+01,   0.225403330758517E+00,
   0.185450276462581E+01,   0.100000000000000E+01,
   0.185450276462581E+01,   0.177459666924148E+01,
   0.250000003746875E+01,   0.225403330758517E+00,
