1818,
  -0.330445158802088E+01,   0.193721300081491E+00,
  -0.331422519894968E+01,   0.344099754878105E+00,
  -0.311337143490996E+01,   0.434495182499050E-01,
  -0.312474001061964E+01,   0.192921408605404E+00,
  -0.313491299729666E+01,   0.342638044690813E+00,
  -0.280371924444539E+01,   0.431247505672374E-01,
  -0.281567215582332E+01,   0.191425875909003E+00,
  -0.282634196146878E+01,   0.339887000564291E+00,
  -0.249397752867657E+01,   0.427703232115146E-01,
  -0.250622774203644E+01,   0.189780968726330E+00,
  -0.251713927620944E+01,   0.336839307618171E+00,
  -0.231366794976689E+01,   0.425517815163855E-01,
  -0.232595232362080E+01,   0.188761494590894E+00,
  -0.233688127399398E+01,   0.334941571934130E+00,
  -0.200374488190233E+01,   0.421763066155651E-01,
  -0.201574674059788E+01,   0.187003734651122E+00,
  -0.202640483398227E+01,   0.331659049706316E+00,
  -0.169368206833253E+01,   0.418038824209085E-01,
  -0.170495542253520E+01,   0.185252677201275E+00,
  -0.171494972267930E+01,   0.328376297752276E+00,
  -0.151316522140744E+01,   0.415905635134698E-01,
  -0.152381121739555E+01,   0.184246546889440E+00,
  -0.153324004604397E+01,   0.326484802957560E+00,
  -0.120289254162445E+01,   0.412607684562993E-01,
  -0.121214062409363E+01,   0.182690678973548E+00,
  -0.122031649012058E+01,   0.323559197907682E+00,
  -0.892494288095301E+00,   0.409818157860884E-01,
  -0.899944158486239E+00,   0.181374873300739E+00,
  -0.906515151726030E+00,   0.321085338905962E+00,
  -0.711791299071577E+00,   0.408439927545002E-01,
  -0.718020411716846E+00,   0.180724965611285E+00,
  -0.723504224773923E+00,   0.319863769296338E+00,
  -0.401253354793933E+00,   0.406663784673781E-01,
  -0.405238917243572E+00,   0.179889147567290E+00,
  -0.408726288762230E+00,   0.318295643786970E+00,
  -0.906643828353353E-01,   0.405660369567474E-01,
  -0.922436832278885E-01,   0.179420082700449E+00,
  -0.935914898727900E-01,   0.317420828928389E+00,
   0.901148362299774E-01,   0.405432635462002E-01,
   0.899993575494071E-01,   0.179316068112225E+00,
   0.899525153972781E-01,   0.317230955726735E+00,
   0.400717185318390E+00,   0.405661328347626E-01,
   0.403050519572036E+00,   0.179429839468906E+00,
   0.405180495676154E+00,   0.317454702739985E+00,
   0.711285418513075E+00,   0.406674963049835E-01,
   0.715958647993409E+00,   0.179913697489035E+00,
   0.720169415913429E+00,   0.318373975488834E+00,
   0.892014172810258E+00,   0.407616920031799E-01,
   0.897990109305873E+00,   0.180361190125275E+00,
   0.903359793035410E+00,   0.319220612209215E+00,
   0.120247604796452E+01,   0.409698294706668E-01,
   0.121045244424473E+01,   0.181346884439221E+00,
   0.121760386109521E+01,   0.321080369086805E+00,
   0.151283757784075E+01,   0.412344597939347E-01,
   0.152249422667721E+01,   0.182596929277766E+00,
   0.153114532370367E+01,   0.323433589772585E+00,
   0.169341718272754E+01,   0.414129994157052E-01,
   0.170390056640188E+01,   0.183439038411094E+00,
   0.171329127427463E+01,   0.325016758430029E+00,
   0.200359818829940E+01,   0.417393736808272E-01,
   0.201518527386712E+01,   0.184974696340011E+00,
   0.202556699629451E+01,   0.327897566167595E+00,
   0.231365131465965E+01,   0.420873137187121E-01,
   0.232593341591146E+01,   0.186607084774453E+00,
   0.233694513480026E+01,   0.330951902201187E+00,
   0.249404081533822E+01,   0.422982232327677E-01,
   0.250654209042288E+01,   0.187594380383156E+00,
   0.251775670457535E+01,   0.332795518106992E+00,
   0.280390831611018E+01,   0.426519662913605E-01,
   0.281651077514657E+01,   0.189244044485812E+00,
   0.282782982551627E+01,   0.335865481741736E+00,
   0.311366902240092E+01,   0.429914799380426E-01,
   0.312603061089046E+01,   0.190818818524734E+00,
   0.313715068582016E+01,   0.338781673984155E+00,
   0.329389934284274E+01,   0.431817160423801E-01,
   0.330597022639599E+01,   0.191697149538082E+00,
   0.331684085918143E+01,   0.340401314884416E+00,
   0.360353204117470E+01,   0.434836504128080E-01,
   0.361495065560883E+01,   0.193084428723029E+00,
   0.362525506594630E+01,   0.342947912656222E+00,
   0.391310970231004E+01,   0.437523052950345E-01,
   0.392369799914072E+01,   0.194309561094558E+00,
   0.393327531349739E+01,   0.345181028894364E+00,
   0.409325706827442E+01,   0.438932905064409E-01,
   0.410328638765291E+01,   0.194947869034854E+00,
   0.411237201357304E+01,   0.346336532962499E+00,
   0.440278391730983E+01,   0.441083871119340E-01,
   0.441181750540939E+01,   0.195915343312379E+00,
   0.442002487685901E+01,   0.348076834230572E+00,
   0.471230156529086E+01,   0.442890531517602E-01,
   0.472030834943737E+01,   0.196719224956713E+00,
   0.472760724064388E+01,   0.349507584884796E+00,
   0.489243432243785E+01,   0.443786048530650E-01,
   0.489983278933672E+01,   0.197113269904522E+00,
   0.490659198970488E+01,   0.350201087535623E+00,
   0.520195905164987E+01,   0.445095882379915E-01,
   0.520834835818485E+01,   0.197686459866798E+00,
   0.521420635624316E+01,   0.351204219523262E+00,
   0.551150193423065E+01,   0.446121918174389E-01,
   0.551693545865491E+01,   0.198131594799721E+00,
   0.552193168116752E+01,   0.351976293189669E+00,
   0.569166093103056E+01,   0.446594408636293E-01,
   0.569656347561985E+01,   0.198334220496884E+00,
   0.570107746090927E+01,   0.352323460010463E+00,
   0.600123475419546E+01,   0.447283488840990E-01,
   0.600527907675419E+01,   0.198623708603817E+00,
   0.600901526483180E+01,   0.352808397573584E+00,
   0.631082954004882E+01,   0.447830377271707E-01,
   0.631408560083818E+01,   0.198844478139178E+00,
   0.631711073298438E+01,   0.353161386987100E+00,
   0.649102054848360E+01,   0.448081856090628E-01,
   0.649385109819448E+01,   0.198941571000841E+00,
   0.649649243014713E+01,   0.353307999469599E+00,
   0.680066027038262E+01,   0.448378648489189E-01,
   0.680283270767349E+01,   0.199058150359895E+00,
   0.680485552947826E+01,   0.353488097993041E+00,
   0.711033583915201E+01,   0.448501453410974E-01,
   0.711194474265266E+01,   0.199111727800606E+00,
   0.711339931231232E+01,   0.353581570578304E+00,
   0.729057718779905E+01,   0.448529922972152E-01,
   0.729189510522188E+01,   0.199127685832039E+00,
   0.729304080420446E+01,   0.353615794679057E+00,
   0.760025535589174E+01,   0.449070481141227E-01,
   0.760103689948100E+01,   0.199339029649784E+00,
   0.760166974404767E+01,   0.353940314202848E+00,
   0.790990096326013E+01,   0.450313163549556E-01,
   0.791008589085541E+01,   0.199812828589728E+00,
   0.791022565855075E+01,   0.354643556453737E+00,
  -0.791014087389665E+01,   0.444887522542808E+00,
  -0.791020683606739E+01,   0.599795309958803E+00,
  -0.791026465051937E+01,   0.754724024236642E+00,
  -0.760134920403860E+01,   0.444408762374335E+00,
  -0.760167971397816E+01,   0.599292223063189E+00,
