   9,
   0.1127016415468129E+00,   0.1127016736117036E+00,
   0.1127016653792583E+00,   0.5000000257824453E+00,
   0.1127016892117036E+00,   0.8872983428531870E+00,
   0.4999998942675546E+00,   0.1127016088292583E+00,
   0.4999999999999999E+00,   0.4999999610000000E+00,
   0.5000001057324454E+00,   0.8872982780707417E+00,
   0.8872981469882961E+00,   0.1127014621468129E+00,
   0.8872983346207419E+00,   0.4999998143175547E+00,
   0.8872985222531869E+00,   0.8872981313882962E+00,
