 369,
   0.1439774771823402E+00,   0.2008653820174177E+00,
   0.1434734340605500E+00,   0.1918956261017833E+00,
   0.1456483386264008E+00,   0.1951026102283198E+00,
   0.1478236445313513E+00,   0.1983095493600691E+00,
   0.1497803598463589E+00,   0.1874719147955647E+00,
   0.1520560877648738E+00,   0.1906084143003086E+00,
   0.1543321420373273E+00,   0.1937447701444740E+00,
   0.1559546315520380E+00,   0.1828411191151152E+00,
   0.1583294714938689E+00,   0.1859034780989955E+00,
   0.1607045625045341E+00,   0.1889656092206932E+00,
   0.1594827957019331E+00,   0.1800530162055286E+00,
   0.1619144611585070E+00,   0.1830705787522871E+00,
   0.1643463336698660E+00,   0.1860878704939053E+00,
   0.1654253092237328E+00,   0.1751058434741323E+00,
   0.1679529672058908E+00,   0.1780436479306190E+00,
   0.1704807547314445E+00,   0.1809811079431068E+00,
   0.1712080904386600E+00,   0.1699667779673525E+00,
   0.1738295162275219E+00,   0.1728213958861512E+00,
   0.1764509915329920E+00,   0.1756755945274328E+00,
   0.1744963603726710E+00,   0.1668905347781831E+00,
   0.1771712710671517E+00,   0.1696952068629685E+00,
   0.1798461832491593E+00,   0.1724994159865530E+00,
   0.1800065927941186E+00,   0.1614628643046348E+00,
   0.1827713779677985E+00,   0.1641791334877719E+00,
   0.1855360744509781E+00,   0.1668948701955811E+00,
   0.1853328118135107E+00,   0.1558630904293620E+00,
   0.1881847858181901E+00,   0.1584878061428010E+00,
   0.1910365706667292E+00,   0.1611119277704008E+00,
   0.1883447450005801E+00,   0.1525284120247828E+00,
   0.1912461689971529E+00,   0.1550984520479129E+00,
   0.1941473414177510E+00,   0.1576678659979802E+00,
   0.1933628481341915E+00,   0.1466745905632740E+00,
   0.1963468455928823E+00,   0.1491483804097548E+00,
   0.1993304884487279E+00,   0.1516214989638353E+00,
   0.1981764242814344E+00,   0.1406723850427406E+00,
   0.2012398612432697E+00,   0.1430471504648846E+00,
   0.2043028475748619E+00,   0.1454212121285124E+00,
   0.2008812259747789E+00,   0.1371148723688850E+00,
   0.2039894090467664E+00,   0.1394307966969278E+00,
   0.2070970885363245E+00,   0.1417460041088579E+00,
   0.2053576555526337E+00,   0.1308987228607709E+00,
   0.2085400488213092E+00,   0.1331115840783576E+00,
   0.2117218476382201E+00,   0.1353237137459766E+00,
   0.2096134892441343E+00,   0.1245609525483449E+00,
   0.2128666333082195E+00,   0.1266684282741070E+00,
   0.2161190916070549E+00,   0.1287751675736243E+00,
   0.2119870378473312E+00,   0.1208207752728307E+00,
   0.2152797324965190E+00,   0.1228659222390262E+00,
